,das,era,mc,name,type
78,/ZToMuMu_NNPDF31_13TeV-powheg_M_50_120/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,ZToMuMu_50_120,DY
79,/ZToMuMu_NNPDF31_13TeV-powheg_M_800_1400/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,ZToMuMu_800_1400,DY
80,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,TT,TT
81,/ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,2018,1,ST_anti,ST
82,/ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21_ext1-v1/NANOAODSIM,2018,1,ST,ST
83,/WW_TuneCP5_13TeV-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,WW,DB
84,/WZ_TuneCP5_13TeV-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,WZ,DB
85,/ZZ_TuneCP5_13TeV-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,ZZ,DB
86,/SingleMuon/Run2016B-02Apr2020_ver1-v1/NANOAOD,2016,0,SingleMuon,data
87,/SingleMuon/Run2016B-02Apr2020_ver2-v1/NANOAOD,2016,0,SingleMuon,data
88,/SingleMuon/Run2016C-02Apr2020-v1/NANOAOD,2016,0,SingleMuon,data
89,/SingleMuon/Run2016D-02Apr2020-v1/NANOAOD,2016,0,SingleMuon,data
90,/SingleMuon/Run2016E-02Apr2020-v1/NANOAOD,2016,0,SingleMuon,data
91,/SingleMuon/Run2016F-02Apr2020-v1/NANOAOD,2016,0,SingleMuon,data
92,/SingleMuon/Run2016G-02Apr2020-v1/NANOAOD,2016,0,SingleMuon,data
93,/SingleMuon/Run2016H-02Apr2020-v1/NANOAOD,2016,0,SingleMuon,data
94,/DoubleEG/Run2016B-02Apr2020_ver1-v1/NANOAOD,2016,0,DoubleEG,data
95,/DoubleEG/Run2016B-02Apr2020_ver2-v1/NANOAOD,2016,0,DoubleEG,data
96,/DoubleEG/Run2016C-02Apr2020-v1/NANOAOD,2016,0,DoubleEG,data
97,/DoubleEG/Run2016D-02Apr2020-v1/NANOAOD,2016,0,DoubleEG,data
98,/DoubleEG/Run2016E-02Apr2020-v1/NANOAOD,2016,0,DoubleEG,data
99,/DoubleEG/Run2016F-02Apr2020-v1/NANOAOD,2016,0,DoubleEG,data
100,/DoubleEG/Run2016G-02Apr2020-v1/NANOAOD,2016,0,DoubleEG,data
101,/DoubleEG/Run2016H-02Apr2020-v1/NANOAOD,2016,0,DoubleEG,data
102,/SingleMuon/Run2017C-02Apr2020-v1/NANOAOD,2017,0,SingleMuon,data
103,/SingleMuon/Run2017D-02Apr2020-v1/NANOAOD,2017,0,SingleMuon,data
104,/SingleMuon/Run2017E-02Apr2020-v1/NANOAOD,2017,0,SingleMuon,data
105,/SingleMuon/Run2017F-02Apr2020-v1/NANOAOD,2017,0,SingleMuon,data
106,/DoubleEG/Run2017B-02Apr2020-v1/NANOAOD,2017,0,DoubleEG,data
107,/DoubleEG/Run2017C-02Apr2020-v1/NANOAOD,2017,0,DoubleEG,data
108,/DoubleEG/Run2017D-02Apr2020-v1/NANOAOD,2017,0,DoubleEG,data
109,/DoubleEG/Run2017E-02Apr2020-v1/NANOAOD,2017,0,DoubleEG,data
110,/DoubleEG/Run2017F-02Apr2020-v1/NANOAOD,2017,0,DoubleEG,data
111,/SingleMuon/Run2018A-02Apr2020-v1/NANOAOD,2018,0,SingleMuon,data
112,/SingleMuon/Run2018B-02Apr2020-v1/NANOAOD,2018,0,SingleMuon,data
113,/SingleMuon/Run2018C-02Apr2020-v1/NANOAOD,2018,0,SingleMuon,data
114,/SingleMuon/Run2018D-02Apr2020-v1/NANOAOD,2018,0,SingleMuon,data
115,/EGamma/Run2018A-02Apr2020-v1/NANOAOD,2018,0,EGamma,data
116,/EGamma/Run2018B-02Apr2020-v1/NANOAOD,2018,0,EGamma,data
117,/EGamma/Run2018C-02Apr2020-v1/NANOAOD,2018,0,EGamma,data
118,/EGamma/Run2018D-02Apr2020-v1/NANOAOD,2018,0,EGamma,data
