# BEGIN DATA
Process=pp -> en~j
Proc=enj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2017-10-16 14:02:08
# END DATA

# BEGIN HISTO1D enj_pTV_LO
# xlow   xhigh   val   errminus  errplus
6.000000e+02 6.500000e+02 3.644988e-04 7.550775e-08 7.550775e-08
6.500000e+02 7.000000e+02 2.252571e-04 4.884246e-08 4.884246e-08
7.000000e+02 7.500000e+02 1.428123e-04 4.082337e-08 4.082337e-08
7.500000e+02 8.000000e+02 9.244760e-05 3.288443e-08 3.288443e-08
8.000000e+02 8.500000e+02 6.100436e-05 1.700986e-08 1.700986e-08
8.500000e+02 9.000000e+02 4.091991e-05 1.261758e-08 1.261758e-08
9.000000e+02 9.500000e+02 2.786170e-05 8.989030e-09 8.989030e-09
9.500000e+02 1.000000e+03 1.921146e-05 6.692445e-09 6.692445e-09
1.000000e+03 1.100000e+03 1.143271e-05 1.646498e-09 1.646498e-09
1.100000e+03 1.200000e+03 5.786865e-06 9.285586e-10 9.285586e-10
1.200000e+03 1.300000e+03 3.026968e-06 5.117788e-10 5.117788e-10
1.300000e+03 1.400000e+03 1.628086e-06 3.157377e-10 3.157377e-10
1.400000e+03 1.600000e+03 6.991874e-07 9.690463e-11 9.690463e-11
1.600000e+03 1.800000e+03 2.259654e-07 3.960535e-11 3.960535e-11
1.800000e+03 2.000000e+03 7.687958e-08 1.744422e-11 1.744422e-11
2.000000e+03 2.200000e+03 2.712397e-08 2.305282e-12 2.305282e-12
2.200000e+03 2.400000e+03 9.808597e-09 9.127516e-13 9.127516e-13
2.400000e+03 2.600000e+03 3.602816e-09 4.014593e-13 4.014593e-13
2.600000e+03 2.800000e+03 1.336940e-09 1.848011e-13 1.848011e-13
2.800000e+03 3.000000e+03 4.974537e-10 8.552830e-14 8.552830e-14
3.000000e+03 6.500000e+03 1.673213e-11 2.303645e-15 2.303645e-15
# END HISTO1D

# BEGIN HISTO1D enj_pTV_K_NNLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.398924e+00 4.517012e-03 4.517012e-03
4.000000e+01 5.000000e+01 1.424872e+00 4.199801e-03 4.199801e-03
5.000000e+01 6.000000e+01 1.440642e+00 4.663298e-03 4.663298e-03
6.000000e+01 7.000000e+01 1.464778e+00 5.190399e-03 5.190399e-03
7.000000e+01 8.000000e+01 1.478531e+00 5.596629e-03 5.596629e-03
8.000000e+01 9.000000e+01 1.488032e+00 5.997879e-03 5.997879e-03
9.000000e+01 1.000000e+02 1.505364e+00 6.118529e-03 6.118529e-03
1.000000e+02 1.100000e+02 1.518398e+00 6.377126e-03 6.377126e-03
1.100000e+02 1.200000e+02 1.534909e+00 6.490086e-03 6.490086e-03
1.200000e+02 1.300000e+02 1.530489e+00 6.603992e-03 6.603992e-03
1.300000e+02 1.400000e+02 1.548633e+00 6.593106e-03 6.593106e-03
1.400000e+02 1.500000e+02 1.557750e+00 6.573299e-03 6.573299e-03
1.500000e+02 2.000000e+02 1.570880e+00 6.457755e-03 6.457755e-03
2.000000e+02 2.500000e+02 1.597109e+00 5.377534e-03 5.377534e-03
2.500000e+02 3.000000e+02 1.620916e+00 6.919562e-03 6.919562e-03
3.000000e+02 3.500000e+02 1.626937e+00 6.280324e-03 6.280324e-03
3.500000e+02 4.000000e+02 1.637326e+00 6.716080e-03 6.716080e-03
4.000000e+02 4.500000e+02 1.645993e+00 7.939470e-03 7.939470e-03
4.500000e+02 5.000000e+02 1.637681e+00 8.697652e-03 8.697652e-03
5.000000e+02 5.500000e+02 1.650280e+00 4.445917e-03 4.445917e-03
5.500000e+02 6.000000e+02 1.649834e+00 4.331324e-03 4.331324e-03
6.000000e+02 6.500000e+02 1.662895e+00 2.655324e-03 2.655324e-03
6.500000e+02 7.000000e+02 1.670322e+00 3.235391e-03 3.235391e-03
7.000000e+02 7.500000e+02 1.675517e+00 2.286413e-03 2.286413e-03
7.500000e+02 8.000000e+02 1.674724e+00 2.771255e-03 2.771255e-03
8.000000e+02 8.500000e+02 1.686081e+00 3.781962e-03 3.781962e-03
8.500000e+02 9.000000e+02 1.693040e+00 4.654971e-03 4.654971e-03
9.000000e+02 9.500000e+02 1.696183e+00 4.494316e-03 4.494316e-03
9.500000e+02 1.000000e+03 1.692747e+00 5.383711e-03 5.383711e-03
1.000000e+03 1.100000e+03 1.712178e+00 3.303404e-03 3.303404e-03
