DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.027297275140881538"
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.036069869995117188"
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.029217015951871872"
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.032387055456638336"
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.060680665075778961"
0, mujets, down_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0655559920221"
0, mujets, down_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0490971838833"
0, mujets, down_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0608205114765"
0, mujets, down_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0605641130832"
0, mujets, down_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0864041753789"
0, mujets, down_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0404224411816"
0, mujets, down_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0597216787727"
0, mujets, down_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.109992072956"
0, mujets, down_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0469016463068"
0, mujets, down_correlated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0262223957172"
0, mujets, down_correlated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.019638874304"
0, mujets, down_correlated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0243282032165"
0, mujets, down_correlated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0242256469075"
0, mujets, down_correlated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0345616702339"
0, mujets, down_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0161689768823"
0, mujets, down_correlated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))-0.0238886716736"
